Name,Tags
" Lincoln Laboratory",Observatorio
Pew Research Center,Observatorio
Research University,
BYD Company Limited,Observatorio
GIC Private Limited,Observatorio
Booz Allen Hamilton,Observatorio
GIC Private Limited,Observatorio
Korean Trade Policy,Observatorio
Korea Exchange (KRX),Observatorio
Enterprise Singapore,Observatorio
Fidelity Investments,Observatorio
"PPG Industries, Inc.",Observatorio
Ames Research Center,Observatorio
Sinochem Corporation,Observatorio
"Meta Platforms, Inc.",Observatorio
Karolinska Institute,Observatorio
Dow Chemical Company,Observatorio
Fidelity Investments,Observatorio
An Essay on Auditing,
"Cargill, Incorporated",Observatorio
"Tableau Software, LLC",Observatorio
Microsoft Corporation,Observatorio
Public Administration,
An Essay on Firm Size,Lab. Políticas de Crecimiento
STMicroelectronics NV,Observatorio
"JPMorgan Chase & Co. ",Observatorio
Tencent Holdings Ltd.,Observatorio
Eli Lilly and Company,Observatorio
Brookings Institution,Observatorio
"Leidos Holdings, Inc.",Observatorio
Corporación Mondragon,Observatorio
RD 1.0 Dominican Laws,
Moscow Exchange (MOEX),Observatorio
Federal Reserve System,Observatorio
Irish Research Council,
MIT Lincoln Laboratory,
China Financing Policy,Observatorio
Suzhou Industrial Park,Observatorio
Basque Culinary Center,Observatorio
Kaiser Wilhelm Society,Observatorio
Autodesk Instructables,Observatorio
Bridgewater Associates,Observatorio
Chinese Communist Party,
Finnish Food Factory Oy,Observatorio
RD 1.0 Dominican Reseña,
A.P. Møller – Mærsk A/S,Observatorio
German Aerospace Center,Observatorio
F. Hoffmann-La Roche AG,Observatorio
Swiss Finance Institute,Observatorio
"DuPont de Nemours, Inc.",Observatorio
Boston Consulting Group,Observatorio
Tsingshan Holding Group,Observatorio
Axa Investment Managers,Observatorio
Finnish Innovation Fund,Observatorio
"Daikin Industries, Ltd.",Observatorio
China Industrial Policy,Observatorio
China Innovation Policy,Observatorio
Singapore Exchange (SGX),Observatorio
RD 1.0 Innovation System,
"Skyworks Solutions, Inc.",Observatorio
State Street Corporation,Observatorio
"The Vanguard Group, Inc.",Observatorio
Barrick Gold Corporation,Observatorio
An Essay on R&D Manpower,Lab. Políticas de Crecimiento
Ningbo Haitian Precision,Observatorio
Catalog of Raw Materials,Lab. Políticas de Crecimiento
LG Corp (LG Corporation),Observatorio
Nippon Steel Corporation,Observatorio
Israel Innovation Policy,Observatorio
Specialized SMEs Program,Observatorio
Swiss National Bank (SNB),Observatorio
RD 1.0 Dominican Urbanism,
RD 1.0 Dominican Security,
Chery Automobile Co. Ltd.,Observatorio
Liebherr-International AG,Observatorio
RD 1.0 Policy History Map,
"ACM Research, Inc. (ACMR)",Observatorio
"Rockwell Automation, Inc.",Observatorio
"CrowdStrike Holdings, Inc",Observatorio
Finland Industrial Policy,Observatorio
Finland Innovation Policy,Observatorio
An Essay on Policy Design,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay On Patent System,Lab. Políticas de Crecimiento
Japan Exchange Group (JPX),Observatorio
An Essay on Public Housing,
An Essay on Housing Market,
Yamazaki Mazak Corporation,Observatorio
An Essay on Policy Testing,Lab. Teoría Métodos y Herramientas Arbitristas
Campofrío Food Group S.A.U.,Observatorio
London Stock Exchange (LSE),Observatorio
European Central Bank (ECB),Observatorio
Chinese Academy of Sciences,
Argonne National Laboratory,
Lockheed Martin Corporation,Observatorio
An Essay on State Financing,
National Science Foundation,Observatorio
Korea Development Institute,Observatorio
Israel Aerospace Industries,Observatorio
The Industrial Policy Group,Observatorio
Israel Innovation Authority,Observatorio
Nordic Council of Ministers,Observatorio
Research Council of Finland,Observatorio
Epicor Software Corporation,Observatorio
International Monetary Fund,Observatorio
China Infrastructure Policy,Observatorio
Case Study: China Go Global,Observatorio
Stanford Behavior Design Lab,Observatorio
An Essay on Welfare Policies,
Costco Wholesale Corporation,Observatorio
ChangXin Memory Technologies,Observatorio
Taiwan Stock Exchange (TWSE),Observatorio
Mexican Stock Exchange (BMV),Observatorio
An Essay on Welfare Policies,"Lab. Gestión de Riesgos, Observatorio"
Vingroup Joint Stock Company,Observatorio
An Essay On Cluster Analysis,
Dutch Research Council (NWO),
Volvo Construction Equipment,Observatorio
An Essay on R&D Coordination,Lab. Políticas de Crecimiento
An Essay on Innovation Chain,Lab. Políticas de Crecimiento
Prussian Academy of Sciences,Observatorio
Statistical Bureau of Taiwan,Observatorio
ITI: Investigate to Innovate,Observatorio
Sociedad de Amantes del País,Observatorio
Strategic Defense Initiative,Observatorio
Brazilian Stock Exchange (B3),Observatorio
	Toronto Stock Exchange (TSX),Observatorio
National Stock Exchange (NSE),Observatorio
Shanghai Stock Exchange (SSE),Observatorio
RD 1.0 Dominican Constitution,
RD 1.0 Dominican Demographics,
"Sany Heavy Industry Co., Ltd.",Observatorio
Forschungszentrum Jülich GmbH,Observatorio
General Electric Company (GE),Observatorio
Frappe Technologies Pvt. Ltd.,Observatorio
Development Bank of Singapore,Observatorio
"Sany Heavy Industry Co., Ltd.",Observatorio
Productivity Promotion Center,Observatorio
Case Study: China Program 973,Observatorio
Case Study: China Program 863,Observatorio
A Survey on Productive Models,Observatorio
An Essay on the Digital State,
New York Stock Exchange (NYSE),Observatorio
Shenzhen Stock Exchange (SZSE),Observatorio
RD 1.0 Dominican Labor Markets,
RD 1.0 Dominican Energy System,
World Trade Organization (WTO),Observatorio
The Charles Schwab Corporation,Observatorio
Shanghai Institute of Ceramics,
An Essay on Polish Development,Observatorio
The Art of Economic Statecraft,Lab. Políticas de Crecimiento
United States of America (USA),
VTT Technical Research Centrer,Observatorio
Center for Collective Learning,Observatorio
A Defense of Industrial Policy,Lab. Políticas de Crecimiento
An Essay On the Virtual Economy,Lab. Políticas de Crecimiento
Hong Kong Stock Exchange (HKEX),Observatorio
An Essay on the Monetary System,Observatorio
An Essay on the Feature of Work,Lab. Política Social
Export Development Canada (EDC),Observatorio
RD 1.0 Dominican Socioeconomics,
RD 1.0 Dominican State Capacity,
"Zijin Mining Group Co., Limited",Observatorio
Kuehne + Nagel International AG,Observatorio
Inter American Development Bank,Observatorio
Jet Propulsion Laboratory (JPL),Observatorio
An Essay On Policy Coordination,
An Essay On State Civil Service,
An Essay on Bureaucratic Models,Lab. Teoría Métodos y Herramientas Arbitristas
"Shenyang Machine Tool Co., Ltd.",Observatorio
Instituto Nacional de Industria,Observatorio
Instituto de Ciencias Fotónicas,Observatorio
Institute for Energy Technology,Observatorio
"Zoom Video Communications, Inc.",Observatorio
Rafael Advanced Defense Systems,Observatorio
Österreichische Beteiligungs AG,Observatorio
An Essay on Organization Design,Lab. Arbitrista
Korea Export-Import Bank (KEXIM),Observatorio
Copenhagen Business School (CBS),
RD 1.0 Dominican Monetary System,
Institute of High Energy Physics,Observatorio
RD 1.0 Dominican Economy History,
An Essay on the Service Industry,Lab. Políticas de Crecimiento
An Essay on Cultural Development,
Institut d’Economia de Barcelona,Observatorio
"NAURA Technology Group Co., Ltd.",Observatorio
National Innovation System (NIS),Lab. Lecturas
Siemens Financial Services (SFS),Observatorio
Public Research Institutes (PRI),
"Louis Dreyfus Company B.V. (LDC) ",Observatorio
Johannesburg Stock Exchange (JSE),Observatorio
Karlsruhe Institute of Technology,Observatorio
RD 1.0 Dominican Political System,
Institute of Metal Research (IMR),
MIT Materials Research Laboratory,Observatorio
"United Parcel Service, Inc. (UPS)",Observatorio
An Essay on Systemic Competiviity,Observatorio
China General Nuclear Power Group,Observatorio
RD 1.0 Dominican Tributary System,
Harvard University Medical School,Observatorio
KTH Royal Institute of Technology,Observatorio
Government Pension Fund of Norway,Observatorio
Kuwait Investment Authority (KIA),Observatorio
An Essay on Policy Identification,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay on Policy Implementation,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay on Technology Catching Up,Lab. Políticas de Crecimiento
RD 1.0 Dominican Financial Markets,
RD 1.0 Dominican Healthcare System,
On R&D Based Productive Ecosystems,Lab. Políticas de Crecimiento
National Physical Laboratory (NPL),
Korea Aerospace Research Institute,Observatorio
Panorama de la Filosofía Hispánica,
Council on Foreign Relations (CFR),Observatorio
Saudi Public Investment Fund (PIF),Observatorio
Bank for International Settlements,Observatorio
"Cadena Comercial OXXO, S.A. de C.V.",Observatorio
RD 1.0 Dominican Legislative System,
RD 1.0 Dominican Educational System,
Danish National Research Foundation,
An Essay on Exports and Development,Lab. Políticas de Crecimiento
Industrial Development Bureau (IDB),Observatorio
Mayo Clinic Alix School of Medicine,Observatorio
RISE: Research Institutes of Sweden,Observatorio
Forest Sciences Centre of Catalonia,Observatorio
Shanghai Stock Exchange STAR Market,Observatorio
Central Provident Fund Board (CPFB),Observatorio
An Essay On Human Capital Formation,Lab. Política Social
An Essay on Coordination Mechanisms,
Australian Securities Exchange (ASX),Observatorio
Case Study:  Sweden Industrilization,Observatorio
Paris Institute of Political Studies,Observatorio
China Shenhua Energy Company Limited,Observatorio
Oak Ridge National Laboratory (ORNL),
Agency for Defense Development (ADD),
Lee Kuan Yew School of Public Policy,Observatorio
Xi'an Aircraft Company Limited (XAC),Observatorio
In Support of Policy Experimentation,Lab. Teoría Métodos y Herramientas Arbitristas
Max Planck Institute for Mathematics,Observatorio
National Bureau of Economic Research,Observatorio
An Overview of Trade Policy Commerce,
Catálogo de Malas Políticas Públicas,"Lab. Infraestructura Energia y Urbanismo, Lab. Política Social, Lab. Políticas de Crecimiento"
National Key Technologies R&D Program,Observatorio
An Essay Coordinating Health Research,
An Essay on Innovation Infrastructure,
Los Alamos National Laboratory (LANL),
An Essay Coordinating Health Research,
EU Smart Specialisation Strategy (S3),Observatorio
"Huawei Investment & Holding Co., Ltd.",Observatorio
An Essay on Evolving RD 1.0 to RD 2.0,
An Overview of  Patent Analysis Tools,Lab. Teoría Métodos y Herramientas Arbitristas
St. Jude Children's Research Hospital,Observatorio
Abu Dhabi Investment Authority (ADIA),Observatorio
Monetary Authority of Singapore (MAS),Observatorio
An Essay on The Role of Maestroestado,
Check Point Software Technologies Ltd.,Observatorio
RD 1.0 Dominican Infrastructure System,
U.S. National Science Foundation (NSF),
Laboratorio Nacional Lawrence Berkeley,
Nanyang Technological University (NTU),Observatorio
Eurecat Centro Tecnológico de Cataluña,Observatorio
Vanguard Total Stock Market Index Fund,Observatorio
New Zealand Trade and Enterprise (NZTE),Observatorio
RD 1.0 Dominican Risk Management System,
An Essay on Society and State Modelling,
An Essay on a Dominican Textile Cluster,Lab. Políticas de Crecimiento
An Essay On Dominican National Security,
The Stockholm School of Economics (SSE),Observatorio
The University of Sydney Nano Institute,
Groningen Growth and Development Centre,Observatorio
"An Essay On Public Sector  “Reduction“ ",
Instituto Galego de Promoción Económica,Observatorio
MIT Industrial Performance Center (IPC),Observatorio
"Goldwind Science & Technology Co., Ltd.",Observatorio
An Essay on the Design of State Council,
Social Doctrine of Arbitrist Laboratory,
International Trade Administration (ITA),Observatorio
Case Study: Brazil Agricultural Industry,
"Societe Generale and Alliance Bernstein ",Observatorio
Centro Superior de Hostelería de Galicia,Observatorio
Graduate Institute of Ferrous Technology,Observatorio
The Catalan Institute for Water Research,Observatorio
"Huntington Ingalls Industries, Inc. (HII)",Observatorio
China National Nuclear Corporation (CNNC),Observatorio
An Essay On A Dominican Venture Ecosystem,Lab. Políticas de Crecimiento
Consiglio Nazionale delle Ricerche  (CNR),
The National Institute for Nanotechnology,
Max Planck Institute for Polymer Research,
China General Technology Group (Genertec),Observatorio
Japan External Trade Organization (JETRO),Observatorio
Taiwan External Trade Development Council,Observatorio
Manufacturing Extension Partnership (MEP),Observatorio
An Essay on Government-Market Relationship,
Laboratorio Tecnológico del Uruguay (LATU),Observatorio
"An Essay Of Public Services Marketization ",
Research Institute of Industrial Economics,Observatorio
On Essay On Design of the The Legal System,
An Essay on Policy Monitoring & Evaluation,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay of Strategies for Boosting Exports,Lab. Teoría Métodos y Herramientas Arbitristas
RD 1.0 Dominican Land and Natural Resources,
State Key Laboratory of Advanced Metallurgy,
Helmholtz-Zentrum Dresden-Rossendorf (HZDR),
National Renewable Energy Laboratory (NREL),Observatorio
An Essay On Development Policy Coordination,
China State Shipbuilding Corporation (CSSC),Observatorio
Advanced Micro-Fabrication Equipment (AMEC),Observatorio
Manchester Institute of Innovation Research,Observatorio
A Model of Research & Commercial University,Lab. Políticas de Crecimiento
A Model for Science and Technology  Funding,Lab. Políticas de Crecimiento
" National Renewable Energy Laboratory (NREL)",Observatorio
An Essay on Design of Infraestructure Policy,
European Council on Foreign Relations (ECFR),Observatorio
Centre National de la Recherche Scientifique,Observatorio
Merics: Mercator Institute for China Studies,Observatorio
Swiss Financial Market Supervisory Authority,Observatorio
The Nordic Institute for Theoretical Physics,Observatorio
State Development and Investment Corporation,Observatorio
RD 2.0: A Blueprint for State Transformation,
RD 2.0: A Blueprint for State Transformation,"Lab. Arbitrista, Observatorio"
An Export Strategy for the Dominican Republic,"Lab. Políticas de Crecimiento, Observatorio"
An Essay on The Global Innovation Index (GII),
An Essay on the Macroeconomics of Development,Lab. Arbitrista
Laboratory for Information & Decision Systems,Observatorio
Export–Import Bank of the United States (EXIM),Observatorio
An Essay on Dominican Macroeconomics Stability,Lab. Gestión de Riesgos
RD 1.0 Dominican Digital Infrastructure System,
An Essay On Public-Private Partnerships (PPPs),Lab. Teoría Métodos y Herramientas Arbitristas
National Graduate Institute for Policy Studies,Observatorio
Max Planck Institute for the Study of Societies,Observatorio
Center for Advanced Materials Processing (CAMP),
National Institute for Materials Science (NIMS),Observatorio
Marx Planck Institute For Sustainable Materials,Observatorio
Royal Netherlands Aerospace Center  (Royal NLR),Observatorio
Korea Trade-Investment Promotion Agency (KOTRA),Observatorio
Consejo Superior de Investigaciones Científicas,Observatorio
Instituto de Ciencias de la Tierra Jaume Almera,Observatorio
Istituto per la Ricostruzione Industriale (IRI),Observatorio
An Essay on Designing Industrial Policy Projects,
Helmholtz Association of German Research Centres,
An Essay on the Complexity of Development Policy,
A New Institutional Innovation: Consilium Magnum,
(COMECON) Council for Mutual Economic Assistance,Observatorio
An Essay on Intelligent Economic Diversification,Lab. Políticas de Crecimiento
The History of Institutionalization of Innovation,Lab. Teoría Métodos y Herramientas Arbitristas
Instituto Interdisciplinario de Economía Política,
Shenzhen Institutes of Advanced Technology (SIAT),Observatorio
United States Small Business Administration (SBA),Observatorio
Max Planck Society for the Advancement of Science,Observatorio
An Essay on the History of the State Audit System,
An Essay of Society Framework For Solving Problems,
International Business Machines Corporation  (IBM),Observatorio
An Essay on Redesigning the Dominican Urban System,
RD 1.0 Dominican Public/Private Sector Interaction,
Case Study: Singapore Tecnoproductive  Development,Lab. Políticas de Crecimiento
German Research Centre for Artificial Intelligence,Observatorio
An Essay on Method to Study Technology Development,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay of Society Framework For Solving Problems,"Lab. Teoría Métodos y Herramientas Arbitristas, Observatorio"
"Defense Advanced Research Projects Agency (DARPA) ",Observatorio
Escuela Superior de Hostelería y Turismo de Madrid,Observatorio
Federal National Mortgage Association (Fannie Mae),Observatorio
On the Necessity of a New Age of Humanistic Revival,"Lab. Política Social, Observatorio"
An Essay on Cluster: The Heart of Productive Policy,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay on National Strategies of Export Promotion,Lab. Teoría Métodos y Herramientas Arbitristas
Advanced Research Projects Agency - Energy (ARPA-E),
On the Design of the “Tribunal de Oposición” System,
Ministry of International Trade and Industry (MITI),Observatorio
An Essay on Designing a Private R&D Services Market,Lab. Políticas de Crecimiento
Centro Brasileiro de Relações Internacionais (CEBRI),Observatorio
ACCIÓ - Agencia para la Competitividad de la Empresa,Observatorio
Advanced Steel Processing & Products Research Center,
The Norman B. Keevil Institute of Mining Engineering,
National Aeronautics and Space Administration (NASA),Observatorio
Council for Economic Planning and Development (CEPD),Observatorio
"Agency for Science, Technology and Research (A*STAR)",Observatorio
Agencia Vasca de Desarrollo Empresarial (Grupo Spri),Observatorio
ACCIÓ - Agencia para la Competitividad de la Empresa,Observatorio
Federal Home Loan Mortgage Corporation (Freddie Mac),Observatorio
RD 1.0 Ontology Model: Dominican Public Institutions,Observatorio
An Essay on Dominican Economic & Development Thinking,
An Essay on Designing an Effective Legislative System,Lab. Arbitrista
An Essay on Dominican Economic & Development Thinking,Observatorio
French National Centre for Scientific Research (CNRS),
"China Northern Rare Earth (Group) High-tech Co., Ltd.",Observatorio
An Essay on the Financial Architecture of Development,Lab. Políticas de Crecimiento
Electronics and Telecommunications Research Institute,Observatorio
Center for Strategic and International Studies (CSIS),Observatorio
Peterson Institute for International Economics (PIIE),Observatorio
(ITIF) Information Technology & Innovation Foundation,Observatorio
National Institute of Standards and Technology (NIST),Observatorio
Colegio Oficial de Ingenieros Industriales de Navarra,Observatorio
Consejo Superior de Investigaciones Científicas (CSIC),
London School of Economics and Political Science (LSE),
An Essay on ESP (Enterprises with State Participation),
Government National Mortgage Association  (Ginnie Mae),Observatorio
"An Essay on {Software, Robotics}+  Productive Strategy",Lab. Políticas de Crecimiento
An  Essay on the “Black - Book“ of Economic Development,Lab. Teoría Métodos y Herramientas Arbitristas
RD 1.0 Dominican Public Opinion & Information Landscape,
On the Design of the Dominica System of Risk Management,Lab. Gestión de Riesgos
Federal Institute for Geosciences and Natural Resources,
An Essay on State - Citizens - Legal Entities Relations,
"Zoomlion Heavy Industry Science and Technology Co., Ltd.",Observatorio
California Public Employees' Retirement System (CalPERS),Observatorio
An Essay On Design of the Dominican Innovation Ecosystem,Lab. Políticas de Crecimiento
Case Study: Dominican Republic Growth Without Development,"Lab. Arbitrista, Observatorio"
A Gran Strategy for Development in the Dominican Republic,Lab. Políticas de Crecimiento
Johns Hopkins University Applied Physics Laboratory (APL),
Observatorio Regional de Planificación para el Desarrollo,Observatorio
CEPAL: Comisión Económica para América Latina y el Caribe,Observatorio
Estrategia de Desarrollo Industrial de Canarias 2022-2027,Observatorio
An Essay On the Institutional Architecture of Development,Lab. Políticas de Crecimiento
Red de Laboratorios de Innovación: Marco y Funcionamiento,Observatorio
King Abdullah University of Science and Technology (KAUST),Observatorio
Catalan Institute of Nanoscience and Nanotechnology (ICN2),Observatorio
Fraunhofer Institute for Material and Beam Technology (IWS),
Mapping the Underlying Technology and Know-How of a Product,Lab. Teoría Métodos y Herramientas Arbitristas
Institute for Biocomputation and Physics of Complex Systems,Observatorio
SMIC: Semiconductor Manufacturing International Corporation,Observatorio
A Design Proposal for Techno-industrial Intelligence System,Lab. Arbitrista
An Essay on Dominican Growth and Industry Structure 1844-220,Observatorio
Banco Nacional de Desenvolvimento Econômico e Social (BNDES),Observatorio
Case Study: Emergence of Sweden Textile Productive Ecosystem,Observatorio
National Institutes for Quantum Science and Technology (QST),Observatorio
The Royal Institute of International Affairs (Chatham House),Observatorio
An Essay on Dominican Growth and Industry Structure 1844-2020,
(Washington State University) Institute of Materials Research,Observatorio
A*STAR Institute of Materials Research and Engineering (IMRE),
Case Study: Japan’s Government and Institutional Architecture,
Case Study:  Invest 2035: The UK’s Modern Industrial Strategy,Lab. Políticas de Crecimiento
"Shanghai Micro Electronics Equipment (Group) Co., Ltd. (SMEE)",Observatorio
(OECD) Organisation for Economic Co-operation and Development,Observatorio
An Essay on the Determinants of Production Costs in a Location,
Case Study: Latvia’s Government and Institutional Architecture,
Case Study: Sweden’s Government and Institutional Architecture,
Fraunhofer Institute for Systems and Innovation Research (ISI),Observatorio
Analisis: Ley 1-12 Estrategia Nacional de Desarrollo (END) 2030,
An Essay on State Intelligence and Analysis Research and Action,
Case Study: Austria’s Government and Institutional Architecture,
Case Study: Estonia’s Government and Institutional Architecture,
Office National d'Études et de Recherches Aérospatiales (ONERA),Observatorio
An Essay on State Intelligence and Analysis Research and Action,Lab. Teoría Métodos y Herramientas Arbitristas
Analisis: Ley 1-12 Estrategia Nacional de Desarrollo (END) 2030,Observatorio
Organizational History of Innovation (> Industrial Research Lab),
Case Study: An Analysis of the Dominican Republic's Film Cluster,
Case Study: An Analysis of the Dominican Republic's Film Cluster,"Lab. Políticas de Crecimiento, Observatorio"
Real Instituto Elcano de Estudios Internacionales y Estratégicos,Observatorio
Case Study: Lithuania’s Government and Institutional Architecture,
Case Study: Singapore’s Government and Institutional Architecture,
An Essay on Dominican Territorial Organization and Administration,Lab. Arbitrista
On the Emergence and Convergence of Complex Productive Ecosystems,Lab. Teoría Métodos y Herramientas Arbitristas
On Techno-productive Policy for  Generic Industries & Technologies,
Beijing Institute of Mathematical Sciences and Applications (BIMSA),Observatorio
Case Study: Switzerland’s Government and Institutional Architecture,
Case Study: New Zealand’s Government and Institutional Architecture,
MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),Observatorio
Hong Kong Applied Science and Technology Research Institute (ASTRI),Observatorio
A Study of the Selection Criteria for Members of a Consilium Magnum,
