Name,Tags,Property
Agricultural Biotech,,20
Human Resources (HR),,20
Management Consulting,,21
Management Accounting,Accounting,21
Allocative efficiency,,21
Organizational Theory,,21
Diseconomies of scale,,21
Comparative Advantage,,21
Theory of Constraints,,21
Commercial Revolution,,21
Competitive Advantage,,21
Organizational Theory,,21
Merger and Acquisition,"Business, Strategy",22
Minimum Viable Product,Product Development,22
Technological Transfer,,22
R&D Project Management,,22
Economic Externalities,,22
Social Learning Theory,,22
Socio-Technical System,,22
International Business,Business,22
Foreign Exchange Market,,23
Subcontracting Linkages,,23
Chinese Communist Party,,23
Global Economic History,,23
Industrial Organization,,23
Product Differentiation,,23
Collective Intelligence,,23
Economic Diversification,,24
"Exit, Voice, and Loyalty",,24
Structural Transformation,,25
Factor Price Equalization,,25
Good Nomenclature  System,,25
Technological Capabilities,,26
Scientific Research System,,26
General Equilibrium Theory,,26
Prebisch–Singer Hypothesis,,26
Financial market efficiency,,27
Commodities Trading Systems,,27
Total Cost of Ownership (TCO),Accounting,29
Organizational Learning Models,Business,30
Organizational Ownership Models,Business,31
Organizational Ownership Models,,31
"Foreign Direct Investment (FDI) ",,32
Cobb–Douglas production function,,32
National Innovation System (NIS),,32
Schelling's Model of Segregation,,32
Enterprise Information Flow Models,,34
"Real Business-cycle Theory (RBC Theory) ",,40
Non-bank Financial Intermediaries (NBFIs),,41
Dynamic Stochastic General Equilibrium Models,,45
